id,relevance
2,1.89
18,2.21
23,1.95
34,2.33
75,1.24
106,1.01
122,1.52
157,2.67
158,2.24
164,1.17
179,1.06
203,2.94
215,1.84
226,2.23
272,2.27
275,1.14
297,2.14
323,2.24
341,2.78
343,1.38
365,2.8
389,2.13
454,2.38
456,1.14
458,1.44
461,1.32
491,1.97
492,1.81
501,2.06
508,1.33
517,1.53
524,1.2
536,2.43
549,2.64
557,2.87
559,2.77
563,1.47
626,2.74
630,2.65
634,1.94
640,1.37
642,2.61
646,2.27
652,2.1
662,1.72
666,2.01
686,2.32
700,3.0
712,1.58
734,2.53
740,2.45
743,2.81
753,2.71
784,1.9
787,1.71
791,1.74
826,1.54
847,1.58
862,2.07
894,1.48
908,1.5
934,1.9
954,2.67
958,2.48
1008,2.03
1020,1.35
1022,2.35
1051,1.65
1072,2.68
1084,2.08
1098,1.65
1108,1.93
1121,1.09
1132,2.85
1146,2.34
1148,1.49
1159,2.99
1165,1.64
1185,1.74
1191,2.88
1205,2.45
1227,2.58
1237,2.88
1248,1.39
1253,2.82
1257,2.03
1287,1.79
1300,2.04
1345,2.79
1348,2.73
1395,1.11
1399,2.73
1444,1.11
1472,1.77
1481,2.18
1486,2.24
1490,1.51
1492,2.87
1609,1.24
1617,1.16
1627,2.14
1634,2.08
1640,1.28
1645,1.56
1673,1.68
1677,2.94
1713,2.82
1721,1.72
1726,2.78
1733,2.4
1742,2.73
1753,1.6
1762,2.13
1841,1.43
1852,1.66
1855,2.5
1875,2.65
1881,1.17
1914,2.97
1920,2.74
1922,2.96
1961,2.96
1963,1.32
1967,2.04
1979,2.66
1989,2.35
1998,1.48
2013,2.95
2024,1.79
2029,2.66
2039,2.47
2041,2.62
2047,2.59
2056,1.94
2073,1.65
2098,2.65
2149,1.0
2158,2.92
2163,1.29
2182,1.07
2211,1.91
2226,1.88
2245,3.0
2291,1.23
2293,1.03
2297,2.4
2299,2.4
2312,2.37
2321,2.08
2409,1.7
2421,2.83
2435,2.72
2449,2.35
2453,2.48
2462,2.11
2468,2.25
2500,2.42
2507,2.18
2540,1.15
2556,1.85
2562,1.39
2575,2.32
2581,2.04
2582,1.51
2592,2.89
2622,1.28
2626,1.41
2636,1.98
2642,1.05
2657,2.86
2670,2.96
2685,1.01
2704,1.41
2708,2.49
2712,2.63
2741,2.76
2744,2.83
2752,2.2
2755,1.83
2782,1.92
2798,2.28
2833,2.31
2847,1.53
2866,2.65
2867,1.95
2871,1.53
2872,1.56
2880,2.42
2892,2.14
2894,1.16
2895,1.11
2944,1.37
2964,1.84
2966,1.59
2973,2.52
2976,2.07
2990,2.76
3002,2.14
3017,2.24
3026,2.34
3030,1.8
3050,2.96
3056,1.45
3096,1.56
3114,1.24
3136,1.75
3144,1.51
3159,2.03
3170,2.68
3181,2.94
3190,1.93
3194,1.77
3202,2.41
3211,1.2
3215,3.0
3227,2.9
3256,1.96
3270,1.61
3314,1.62
3315,2.32
3341,2.07
3356,1.72
3391,1.64
3407,1.13
3411,2.49
3412,2.48
3422,2.37
3471,2.23
3475,2.85
3507,1.45
3509,2.72
3535,2.05
3536,1.25
3541,1.73
3553,1.09
3558,1.94
3561,2.74
3564,1.45
3570,2.04
3578,1.92
3604,2.43
3610,2.65
3612,2.87
3643,2.21
3678,3.0
3683,2.75
3690,2.15
3700,1.91
3710,2.28
3718,2.26
3720,2.29
3726,1.71
3763,1.74
3769,2.03
3792,2.77
3821,1.7
3878,2.03
3887,2.66
3895,2.99
3901,1.88
3977,2.56
3980,1.57
3994,1.64
4013,1.25
4022,1.27
4023,2.91
4056,2.66
4061,1.5
4083,2.46
4096,2.21
4103,1.6
4121,1.44
4127,2.28
4129,2.85
4142,1.56
4148,2.64
4155,2.91
4161,1.93
4193,2.0
4201,1.17
4212,1.57
4216,1.18
4226,1.34
4230,2.82
4231,1.23
4240,1.35
4254,1.79
4260,2.86
4263,2.29
4288,2.66
4296,1.81
4319,2.61
4328,1.52
4352,2.13
4365,1.53
4375,1.46
4376,2.98
4396,2.43
4415,2.66
4416,1.21
4417,1.69
4427,1.95
4444,2.15
4461,2.67
4494,2.02
4519,2.52
4558,2.45
4564,1.18
4579,1.23
4591,2.95
4596,1.79
4599,1.52
4605,1.19
4607,1.73
4673,1.09
4697,1.67
4710,1.31
4726,1.54
4742,1.31
4747,1.24
4804,1.57
4805,2.67
4809,2.35
4830,1.5
4845,1.29
4850,2.69
4876,2.86
4898,1.8
4930,1.93
4932,1.06
4934,2.25
4949,2.74
4956,2.01
4983,2.24
4985,2.61
5002,1.13
5005,2.32
5067,1.22
5071,1.57
5107,2.78
5121,2.75
5128,1.49
5137,1.82
5170,1.74
5176,1.65
5182,2.61
5185,1.7
5230,2.94
5298,2.93
5325,2.36
5354,1.74
5361,1.74
5364,1.86
5379,1.9
5405,1.73
5433,2.39
5457,1.45
5468,2.08
5470,2.43
5483,1.15
5507,2.23
5585,2.6
5595,1.69
5620,1.82
5625,1.74
5642,1.36
5710,1.89
5725,1.21
5737,1.18
5761,2.98
5766,1.14
5774,1.6
5788,2.82
5797,2.42
5800,1.3
5809,2.85
5819,1.77
5827,2.15
5857,2.99
5868,2.59
5874,2.53
5898,2.84
5941,2.62
5954,2.44
5963,2.42
5975,1.74
5996,1.2
6000,2.5
6029,2.17
6044,1.02
6052,2.0
6061,2.18
6062,1.74
6071,1.94
6128,2.04
6168,2.82
6174,1.8
6175,2.26
6198,2.4
6227,2.37
6232,2.37
6237,2.93
6256,1.83
6258,2.06
6282,1.12
6301,1.39
6314,2.45
6363,1.89
6380,1.07
6413,1.21
6425,1.7
6427,1.89
6460,2.82
6462,2.0
6472,2.46
6503,1.68
6508,1.99
6518,1.93
6519,1.67
6544,2.38
6571,1.88
6610,1.75
6616,2.4
6622,1.27
6640,1.83
6656,1.9
6660,1.92
6681,2.84
6709,1.65
6735,2.63
6739,1.3
6762,1.32
6778,2.09
6796,1.83
6803,1.78
6813,2.89
6815,1.36
6849,1.52
6870,2.37
6872,2.98
6899,1.95
6914,2.23
6917,1.39
6943,2.4
6979,2.73
6991,2.13
7000,1.94
7024,1.45
7031,1.2
7049,2.76
7052,1.85
7063,1.44
7064,1.84
7072,1.1
7107,2.98
7130,1.48
7133,1.02
7140,2.62
7150,2.0
7154,2.0
7166,2.87
7168,1.6
7187,2.21
7193,1.71
7201,1.77
7205,2.81
7211,1.36
7242,2.8
7249,1.34
7260,2.47
7267,2.52
7275,2.63
7301,2.23
7305,2.85
7315,1.7
7331,1.8
7364,2.61
7384,2.63
7399,2.81
7418,2.73
7474,1.48
7502,1.33
7504,2.91
7515,1.18
7526,1.41
7538,2.35
7544,2.0
7592,2.99
7596,2.27
7597,1.39
7622,2.73
7634,2.74
7649,1.46
7656,1.05
7667,1.48
7703,2.55
7707,2.87
7717,2.49
7739,2.92
7808,1.43
7815,2.24
7824,1.57
7834,1.74
7855,1.97
7863,1.83
7900,2.76
7912,2.43
7921,2.56
7924,2.42
7934,2.93
7954,2.44
7955,2.51
7982,1.59
7986,2.29
7997,1.13
8011,1.57
8014,2.56
8042,2.29
8062,2.56
8065,1.47
8133,2.49
