"id","product_uid","product_title","search_term","relevance"
2,100001,"Simpson Strong-Tie 12-Gauge Angle","angle bracket",3
18,100006,"Whirlpool 1.9 cu. ft. Over the Range Convection Microwave in Stainless Steel with Sensor Cooking","convection otr",3
23,100007,"Lithonia Lighting Quantum 2-Light Black LED Emergency Fixture Unit","emergency light",2.67
34,100010,"Valley View Industries Metal Stakes (4-Pack)","steele stake",2.67
75,100017,"MD Building Products 36 in. x 36 in. Cloverleaf Aluminum Sheet, Silver","metal plate cover gcfi",1.67
106,100019,"House of Fara 8 Linear ft. MDF Overlapping Wainscot Interior Paneling Kit","wainscot plank paneling",2.33
122,100022,"Samsung 4.2 cu. ft. Front Load Washer with Steam in White, ENERGY STAR","upholstery washing machines with steam",2.33
157,100028,"Backyard X-Scapes 6 ft. H. x 16 ft. L Reed Fencing","privacy lattice panels",2.33
158,100028,"Backyard X-Scapes 6 ft. H. x 16 ft. L Reed Fencing","privacy panels",1.67
164,100030,"9.1 in. x 5.8 in. White Designer Shelf Bracket","8 4616809045 9",1.67
179,100033,"HDX 48 in. W x 72 in. H x 18 in. D Decorative Wire Chrome Finish Commercial Shelving Unit","kitchen wire shelf tiered",3
203,100036,"Rubbermaid 12 in. D Single Track Bracket","12 wire shelf bracket",3
215,100038,"RIDGID X4 18-Volt 1/2 in. Impact Wrench (Tool Only)","impact wrench",3
226,100039,"Emberglow 25,000 BTU Vent-Free Dual Fuel Gas Stove with Thermostat","register for fuel",2.33
272,100047,"Crown Bolt 24 in. x 1/2 in. x 12 in. Plain Metal Expanded Sheet","bolt 1/2 in by 12",3
275,100047,"Crown Bolt 24 in. x 1/2 in. x 12 in. Plain Metal Expanded Sheet","metal sheet",2.33
297,100051,"Hampton Bay Spring Haven Brown All-Weather Wicker Patio Lounge Chair with Sky Blue Cushions","outdoorfurniture",2.33
323,100055,"MOEN Essie Single-Handle Pull-Down Sprayer Kitchen Faucet in Spot Resist Stainless with Soap Dispenser","kingsley moen kitchen faucet",2.33
341,100057,"Owens Corning R-19 Kraft Faced Insulation Batts 15 in. x 93 in.","6 kraft faced insulation",2.33
343,100057,"Owens Corning R-19 Kraft Faced Insulation Batts 15 in. x 93 in.","fiberglass insulation",2.33
365,100060,"RDI Porch and Newel 5 in. x 5 in. x 108 in. Vinyl Turned Fence Post with 5000 lb. Capacity","post",2.33
389,100065,"Glacier Bay 2-piece High Efficiency Dual Flush Complete Elongated Toilet in White","10  rough toilet bowl",2.33
454,100068,"Rheem Performance Plus 50 Gal. Tall 9 Year 40,000 BTU High Efficiency Natural Gas Water Heater","rheem water heater gas",3
456,100068,"Rheem Performance Plus 50 Gal. Tall 9 Year 40,000 BTU High Efficiency Natural Gas Water Heater","rheum water heater",3
458,100068,"Rheem Performance Plus 50 Gal. Tall 9 Year 40,000 BTU High Efficiency Natural Gas Water Heater","water heater certified",3
461,100069,"Shark Rotator Slim-Light Lift-Away Vacuum Cleaner","shark vacuum",3
491,100076,"4 in. x 4 in. x 5-1/3 ft. Pressure-Treated Pine 2-Hole Fence Corner Post","treated fence posts",3
492,100077,"Mueller Global 3/4 in. Black Malleable Iron Threaded Tee","1/2 x 5 black pipe nipple",1.67
501,100079,"Frigidaire 18 cu. ft. Top Freezer Refrigerator in Stainless Steel","18  dishwasher",1.67
508,100081,"STERLING Accord 30 in. x 60 in. x 72 in. Bath and Shower Kit in White","30' x 60 'molded one piece acrylic shower stall",2.33
517,100083,"Shape Products Thick &amp; Strong Flat Area Well Cover","basemetnt window",1.33
524,100086,"Rust-Oleum EpoxyShield 2 gal. Tan 2-Part High-Gloss Epoxy Garage Floor Coating Kit","editing garage floor",2
536,100087,"YuTrax Arch XL Folding Aluminum ATV Ramp","car ramps ends",2
549,100090,"LG Electronics 5,000 BTU 115-Volt Window Air Conditioner","A/c window unit",3
557,100090,"LG Electronics 5,000 BTU 115-Volt Window Air Conditioner","room a/c units",2.67
559,100090,"LG Electronics 5,000 BTU 115-Volt Window Air Conditioner","spliter ac unit",2.33
563,100090,"LG Electronics 5,000 BTU 115-Volt Window Air Conditioner","Window Unit Air Conditioner/Heater",2.67
626,100098,"Gardener&#39;s Blue Ribbon 16 in. Plastic Rolling Plant Caddy","plants moses in a cradle",1.33
630,100100,"Dimex EasyFlex 24 ft. Aluminum Landscape Edging Project Kit in Black","landscape edging",3
634,100101,"Intertape Polymer Group PG 21 2.0 in. x 60 yd. Lacquer Resistant Performance Grade Masking Tape (6-Pack)","intertape duct tape 3pk",1.67
640,100104,"GE All Purpose Silicone I 10.1-oz. Clear Window and Door Caulk","10 window sping rod",1.67
642,100104,"GE All Purpose Silicone I 10.1-oz. Clear Window and Door Caulk","clear silicone caulk windows doors",2.33
646,100105,"RIDGID X4 18-Volt Lithium-Ion Cordless Drill and Impact Driver Combo Kit (2-Tool)","desalt impact 18",2.67
652,100105,"RIDGID X4 18-Volt Lithium-Ion Cordless Drill and Impact Driver Combo Kit (2-Tool)","rigid lithium ion batteries fuego drill",2.33
662,100110,"Ryobi Expand-It 10 in. Universal Pole Saw Attachment","expand it universal products",2.33
666,100110,"Ryobi Expand-It 10 in. Universal Pole Saw Attachment","ryobi pole saw",2.67
686,100116,"LG Electronics 10,000 BTU Portable Air Conditioner and Dehumidifier Function with Remote in White","10000 btu portable ac",3
700,100120,"DEWALT 2.4-amp 1/4-Sheet Pad Sander","hand sander",3
712,100124,"Champion Power Equipment 3,100 Watt Gasoline Powered Wireless Remote Start Inverter Generator with Free Cover","inverter generator",3
734,100128,"Proslat 32 sq. ft. White Wall Panel Kit","garage chair organizer",1
